Director,Education,Year Active,Birth Day,Birth Place,Roles,Died,Link
Jacqueline Audry,,1946–1973,"BornSeptember 25, 1908Orange, Vaucluse, France","Orange, Vaucluse, France",Film director,1,https://en.wikipedia.org/wiki/Jacqueline_Audry
Bille August,,1978–present,1948-11-09,"Brede, Denmark",Film director,0,https://en.wikipedia.org/wiki/Bille_August
Claude Autant-Lara,,,1901-08-05,,,1,https://en.wikipedia.org/wiki/Claude_Autant-Lara
Aram Avakian,,,"BornApril 23, 1926Manhattan, New York City","Manhattan, New York City",film editor and director,1,https://en.wikipedia.org/wiki/Aram_Avakian
Roger Avary,,1992–present,1965-08-23,"Flin Flon, Manitoba, Canada[1]","Director, screenwriter, producer",0,https://en.wikipedia.org/wiki/Roger_Avary
Pupi Avati,,,1938-11-03,"Bologna, Italy","Film director, film producer, screenwriter",0,https://en.wikipedia.org/wiki/Pupi_Avati
Tex Avery,,1928–1980,1908-02-26,"Taylor, Texas, U.S.","Animator, animation director, cartoonist, voice actor",1,https://en.wikipedia.org/wiki/Tex_Avery
John G. Avildsen,,1969–2017,1935-12-21,"Oak Park, Illinois, U.S.",Film director,1,https://en.wikipedia.org/wiki/John_G._Avildsen
Dan Aykroyd,,1971–present,1952-07-01,"Ottawa, Ontario, Canada",,0,https://en.wikipedia.org/wiki/Dan_Aykroyd
Nabil Ayouch,,1992–present,1969-04-01,"Paris, France","Film director, producer, and screenwriter",0,https://en.wikipedia.org/wiki/Nabil_Ayouch
Suresh Bhardwaj,,,1955-06-06,"Delhi, India",Theatre Director,0,https://en.wikipedia.org/wiki/Suresh_Bhardwaj
Héctor Babenco,,1973–2015,1946-02-07,"Buenos Aires, Argentina","Film director and producer, screenwriter",1,https://en.wikipedia.org/wiki/H%C3%A9ctor_Babenco
Lloyd Bacon,,1914–1955,1889-12-04,"San Jose, California, U.S.","Director, actor, screenwriter",1,https://en.wikipedia.org/wiki/Lloyd_Bacon
Clarence G. Badger,,1915–1941,"BornJune 9, 1880San Francisco, California, United States","San Francisco, California, United States","Film director, screenwriter, film producer",1,https://en.wikipedia.org/wiki/Clarence_G._Badger
John Badham,,1969–present,1939-08-25,"Luton, Bedfordshire, England, United Kingdom",Film director,0,https://en.wikipedia.org/wiki/John_Badham
Cindy Baer,,,"BornAugust 12, 1969Boston, Massachusetts, United States","Boston, Massachusetts, United States","Actress, director, producer, entrepreneur",0,https://en.wikipedia.org/wiki/Cindy_Baer
Prince Bagdasarian,,2001–present,1984-01-26,"Los Angeles, California, California, U.S.","Film director, screenwriter & editor",0,https://en.wikipedia.org/wiki/Prince_Bagdasarian
King Baggot,,1900 to 1947,1879-11-07,"St. Louis, Missouri, U.S.",Actor Director,1,https://en.wikipedia.org/wiki/King_Baggot
Stuart Baird,,1971–present,1947-11-30,"England, UK","Film editor, film director",0,https://en.wikipedia.org/wiki/Stuart_Baird
Roy Ward Baker,,1947–1992,1916-12-19,"London, England",Film director,1,https://en.wikipedia.org/wiki/Roy_Ward_Baker
Mohammad Bakri,,1983-present,1953-11-27,"Bi'ina, Israel",,0,https://en.wikipedia.org/wiki/Mohammad_Bakri
Ralph Bakshi,,1956[1]-present (artist,1938-10-29,"Haifa, Mandatory Palestine(now in Israel)","Director, producer, animator, cartoonist, writer, actor, painter",0,https://en.wikipedia.org/wiki/Ralph_Bakshi
Aleksei Balabanov,,1989 – 2012,1959-02-25,"Sverdlovsk, Russian SFSR, USSR",Film director,1,https://en.wikipedia.org/wiki/Aleksei_Balabanov
Kailasam Balachander,,1964–2014,1930-07-09,"Nannilam, Tanjore District (now Tiruvarur district), Madras Presidency, British India","Playwright, film director, film producer, screenwriter, actor",1,https://en.wikipedia.org/wiki/Kailasam_Balachander
Carroll Ballard,,1965–2005,1937-10-14,"Los Angeles, California, United States",Film director,0,https://en.wikipedia.org/wiki/Carroll_Ballard
Charles Band,,1973–present,1951-12-27,"Los Angeles,[1] California, United States","Film producer, film director",0,https://en.wikipedia.org/wiki/Charles_Band
Monty Banks,,1916-1945,1897-07-18,"Cesena, Italy","Director, comedian",1,https://en.wikipedia.org/wiki/Monty_Banks
Juan Antonio Bardem,,1951–1997,1922-06-02,"Madrid, Spain","Film director, screenwriter",1,https://en.wikipedia.org/wiki/Juan_Antonio_Bardem
Richard L. Bare,,2007–2015,1913-08-12,"Turlock, California, United States","Film director, producer, screenwriter",1,https://en.wikipedia.org/wiki/Richard_L._Bare
Chris Barfoot,,,,,,0,https://en.wikipedia.org/wiki/Chris_Barfoot
Sooraj R. Barjatya,,1979–present,1965-02-22,"Mumbai, Maharashtra, India",Assistant DirectorProducerDirectorDirector of Rajshri Productions,0,https://en.wikipedia.org/wiki/Sooraj_R._Barjatya
Clive Barker,,,1952-10-05,,"Author, film director, screenwriter, producer, actor, playwright, painter, illustrator, visual artist, game producer, comic writer and comic artist",0,https://en.wikipedia.org/wiki/Clive_Barker
Reginald Barker,,1912–1935,1886-04-02,"Winnipeg, Manitoba, Canada",Film director,1,https://en.wikipedia.org/wiki/Reginald_Barker
Tom Barman,,1989–present,1972-01-01,,"Musician, songwriter, film director",0,https://en.wikipedia.org/wiki/Tom_Barman
Boris Barnet,,1927–1963,1902-06-18,"Moscow, Russian Empire",Film directorScreenwriter,1,https://en.wikipedia.org/wiki/Boris_Barnet
Matthew Barney,EducationYale University,,1967-03-25,"San Francisco, California, U.S.",,0,https://en.wikipedia.org/wiki/Matthew_Barney
Daniel Barnz,,2008–present,"Born1970 (age 49–50)Gladwyne, Pennsylvania","Gladwyne, Pennsylvania","Screenwriter, film director",0,https://en.wikipedia.org/wiki/Daniel_Barnz
Chuck Barris,,1962–2010,1929-06-03,"Philadelphia, Pennsylvania, U.S.","Television producer, television presenter, songwriter, author",1,https://en.wikipedia.org/wiki/Chuck_Barris
Drew Barrymore,,1976–present,1975-02-22,"Culver City, California, U.S",Actress producer director author model entrepreneur,0,https://en.wikipedia.org/wiki/Drew_Barrymore
Lionel Barrymore,,1893–1954,1878-04-28,"Philadelphia, Pennsylvania, U.S.",Actor,1,https://en.wikipedia.org/wiki/Lionel_Barrymore
Jason Bateman,,1981–present,1969-01-14,"Rye, New York, U.S.",Actordirectorproducer,0,https://en.wikipedia.org/wiki/Jason_Bateman
Paul Bartel,,1968–2000,1938-08-06,"Brooklyn, New York, U.S.","Actor, director, writer",1,https://en.wikipedia.org/wiki/Paul_Bartel
Hall Bartlett,,1952–1982,1922-11-27,"Kansas City, Missouri, United States","Actor, film director, film producer, screenwriter",1,https://en.wikipedia.org/wiki/Hall_Bartlett
Charles Barton,,1920–1971,1902-05-25,"San Francisco, California, United States",film actorvaudevillianfilm director,1,https://en.wikipedia.org/wiki/Charles_Barton_(director)
Felix Basch,,1914–1944,1885-09-16,"Vienna, Austro-Hungarian Empire","Film actor, screenwriter, film director",1,https://en.wikipedia.org/wiki/Felix_Basch
Mario Bava,,,1914-07-31,"Sanremo, Liguria, Kingdom of Italy","Film director, cinematographer, special effects artist, screenwriter",1,https://en.wikipedia.org/wiki/Mario_Bava
Michael Bay,,1986–present,1965-02-17,"Los Angeles, California, U.S.","Film director, producer, camera operator, actor",0,https://en.wikipedia.org/wiki/Michael_Bay
Juan Antonio Bayona,,1999–present,1975-05-09,"Barcelona, Spain",Film director,0,https://en.wikipedia.org/wiki/Juan_Antonio_Bayona
Warren Beatty,,1956–present,1937-03-30,"Richmond, Virginia, U.S.","Actor, director, producer, screenwriter",0,https://en.wikipedia.org/wiki/Warren_Beatty
William Beaudine,,,1892-01-15,"New York City, New York, United States","Film director, actor",1,https://en.wikipedia.org/wiki/William_Beaudine
Harry Beaumont,,1911–1948,1888-02-10,"Abilene, Kansas, U.S.","Director, actor, screenwriter",1,https://en.wikipedia.org/wiki/Harry_Beaumont
Harold Becker,,,1928-09-25,"New York City, New York, U.S.","Film director, film producer",0,https://en.wikipedia.org/wiki/Harold_Becker
Jacques Becker,,1935–1960,1906-09-15,"Paris, France",ScreenwriterFilm director,1,https://en.wikipedia.org/wiki/Jacques_Becker
Josh Becker,,1981–present,1958-08-17,"Detroit, Michigan, U.S.",Motion Picture and Television director and writer,0,https://en.wikipedia.org/wiki/Josh_Becker
Wolfgang Becker,,1988–present,1954-06-22,"Hemer, Sauerland, West Germany","Film director, screenwriter",0,https://en.wikipedia.org/wiki/Wolfgang_Becker
Guy Norman Bee,,1990–present,BornGuy Norman Bee,,"Television director, television producer, steadicam operator",0,https://en.wikipedia.org/wiki/Guy_Norman_Bee
Ford Beebe,,1916–1977,1888-11-26,"Grand Rapids, Michigan, United States",ScreenwriterFilm director,1,https://en.wikipedia.org/wiki/Ford_Beebe
Hans Behrendt,,1920 -1936,"Born28 September 1889Berlin, German Empire","Berlin, German Empire",Film director Screenwriter Actor,1,https://en.wikipedia.org/wiki/Hans_Behrendt
Jean-Jacques Beineix,,1977–present,1946-10-08,"Paris, France",Film director,0,https://en.wikipedia.org/wiki/Jean-Jacques_Beineix
Monta Bell,,1925-1942,1891-02-05,"Washington D.C., U.S.",,1,https://en.wikipedia.org/wiki/Monta_Bell
Marco Bellocchio,,1962–present,1939-11-09,"Bobbio, Italy","Film director, screenwriter, actor",0,https://en.wikipedia.org/wiki/Marco_Bellocchio
Jerry Belson,,,1938-07-08,,,1,https://en.wikipedia.org/wiki/Jerry_Belson
Maria Luisa Bemberg,,1959 - 1995,1922-04-14,"Buenos Aires, Argentina",Film directorScreenwriter,1,https://en.wikipedia.org/wiki/Maria_Luisa_Bemberg
Jack Bender,,1971–present,1949-09-25,"Los Angeles, California, U.S.",Television directortelevision producerfilm directortelevision writeractor,0,https://en.wikipedia.org/wiki/Jack_Bender
Shyam Benegal,,,1934-12-14,"Trimulgherry, Hyderabad State, British India (now in Telangana, India)","Film director, Screenwriter",0,https://en.wikipedia.org/wiki/Shyam_Benegal
Roberto Benigni,,1970–present,1952-10-27,"Manciano La Misericordia, Castiglion Fiorentino, Italy",Film director screenwriter actor comedian,0,https://en.wikipedia.org/wiki/Roberto_Benigni
Richard Benjamin,,1962–present,1938-05-22,"New York City, New York, U.S.",Actordirectorproducer,0,https://en.wikipedia.org/wiki/Richard_Benjamin
Spencer Gordon Bennet,,1921–1974,1893-01-05,"Brooklyn, New York, United States","Film director, film producer",1,https://en.wikipedia.org/wiki/Spencer_Gordon_Bennet
Robert Benton,,1967–2007,1932-09-29,"Waxahachie, Texas, United States","Film director, screenwriter, producer",0,https://en.wikipedia.org/wiki/Robert_Benton
Bruce Beresford,,1972–present,1940-08-16,"Sydney, New South Wales, Australia",Film director,0,https://en.wikipedia.org/wiki/Bruce_Beresford
Andrew Bergman,EducationBinghamton University (BA)University of Wisconsin–Madison (Ph.D.),,1945-02-20,,"Screenwriter, author, film director",0,https://en.wikipedia.org/wiki/Andrew_Bergman
Ingmar Bergman,,1944–2005,1918-07-14,"Uppsala, Sweden",Film director producer screenwriter,1,https://en.wikipedia.org/wiki/Ingmar_Bergman
Busby Berkeley,,1927–1971,1895-11-29,"Los Angeles, California, United States",Film directorChoreographer,1,https://en.wikipedia.org/wiki/Busby_Berkeley
Luis Garcia Berlanga,,1951–2002,1921-06-12,"Valencia, Spain",Film directorScreenwriter,1,https://en.wikipedia.org/wiki/Luis_Garcia_Berlanga
Andrea Berloff,,1997–present,"Born1974 (age 45–46)Framingham, Massachusetts, U.S.","Framingham, Massachusetts, U.S.",Filmmaker,0,https://en.wikipedia.org/wiki/Andrea_Berloff
Paul Bern,,1919–1932,1889-12-03,"Wandsbek, Schleswig-Holstein, German Empire (present day Hamburg, Germany)","Screenwriter, director, producer",1,https://en.wikipedia.org/wiki/Paul_Bern
Ishmael Bernal,,,1938-09-30,"Manila, Commonwealth of the Philippines",Film director,1,https://en.wikipedia.org/wiki/Ishmael_Bernal
Curtis Bernhardt,,,"BornKurt BernhardtApril 15, 1899Worms, Germany","Worms, Germany",Film director,1,https://en.wikipedia.org/wiki/Curtis_Bernhardt
Claude Berri,,1953–2008,1934-07-01,"Paris, France","Film producer, actor, screenwriter, film director",1,https://en.wikipedia.org/wiki/Claude_Berri
John Berry,,,"BornJak SzoldSeptember 6, 1917The Bronx, New York, US","The Bronx, New York, US","Film director, screenwriter, actor, film producer",1,https://en.wikipedia.org/wiki/John_Berry_(film_director)
Bernardo Bertolucci,,1962–2018,1941-03-16,"Parma, Italy",Film directorScreenwriter,1,https://en.wikipedia.org/wiki/Bernardo_Bertolucci
Luc Besson,,1981–present,1959-03-18,"Paris, France","Producer, director, screenwriter",0,https://en.wikipedia.org/wiki/Luc_Besson
Frank Beyer,,1957–2000,1932-05-26,"Nobitz, Thuringia, Germany",Film director,1,https://en.wikipedia.org/wiki/Frank_Beyer
Bharathiraja,,1977–present,1942-08-23,"Theni Allinagaram, Madura District (now Theni district, Tamil Nadu), Madras Presidency, British India","Film director, screenwriter, film producer, actor",0,https://en.wikipedia.org/wiki/Bharathiraja
John Biddle,,1956–2002,1925-06-07,"Philadelphia, Pennsylvania, U.S.",yachting cinematographer/lecturer,1,https://en.wikipedia.org/wiki/John_Biddle_(yachting_cinematographer)
Fabián Bielinsky,,,1959-02-03,"Buenos Aires, Argentina",Director,1,https://en.wikipedia.org/wiki/Fabi%C3%A1n_Bielinsky
Kathryn Bigelow,EducationSan Francisco Art Institute (BFA)Columbia University (MFA),1978–present,1951-11-27,"San Carlos, California, U.S.",Directorproducerwriter,0,https://en.wikipedia.org/wiki/Kathryn_Bigelow
Tony Bill,,1959—present,1940-08-23,"San Diego, California, United States","Actor, director, producer",0,https://en.wikipedia.org/wiki/Tony_Bill
Anna Biller,,,"BornAnna BillerLos Angeles, California, U.S.","Los Angeles, California, U.S.",Film directorproducerscreenwriteractresseditorproduction designermusiciancostume designer,0,https://en.wikipedia.org/wiki/Anna_Biller
Peter Billingsley,,1978–present,1971-04-16,"New York City, New York, U.S.","Actor, producer, director",0,https://en.wikipedia.org/wiki/Peter_Billingsley
Bruce Bilson,,1955-2006,1928-05-19,"Brooklyn, New York, USA","Director, producer, screenwriter",0,https://en.wikipedia.org/wiki/Bruce_Bilson
Brad Bird,,1979–present,1957-09-24,"Kalispell, Montana, U.S.",Animator director screenwriter producer voice actor,0,https://en.wikipedia.org/wiki/Brad_Bird
Bill Bixby,,1959–1993,1934-01-22,"San Francisco, California, U.S.","Actor, director, producer, game-show panelist",1,https://en.wikipedia.org/wiki/Bill_Bixby
Alice Guy-Blaché,,1894–1922,1873-07-01,"Saint-Mandé, France","Filmmaker, director, screenwriter, producer, actress",1,https://en.wikipedia.org/wiki/Alice_Guy-Blach%C3%A9
